time,S,I,R
0,3585,15,0
1,3548,52,0
2,3464,134,2
3,3318,275,7
4,3122,459,19
5,2860,696,44
6,2579,944,77
7,2262,1213,125
8,1936,1471,193
9,1571,1762,267
10,1214,2026,360
11,901,2234,465
12,640,2387,573
13,435,2467,698
14,300,2472,828
15,189,2483,928
16,114,2445,1041
17,62,2370,1168
18,29,2298,1273
19,16,2198,1386
20,6,2106,1488
21,1,2020,1579
22,0,1929,1671
23,0,1831,1769
24,0,1727,1873
25,0,1633,1967
26,0,1557,2043
27,0,1471,2129
28,0,1384,2216
29,0,1329,2271
30,0,1248,2352
31,0,1187,2413
32,0,1135,2465
33,0,1079,2521
34,0,1014,2586
35,0,970,2630
36,0,935,2665
37,0,896,2704
38,0,861,2739
39,0,811,2789
40,0,766,2834
41,0,730,2870
42,0,701,2899
43,0,658,2942
44,0,627,2973
45,0,599,3001
46,0,569,3031
47,0,546,3054
48,0,519,3081
49,0,495,3105
50,0,474,3126
51,0,452,3148
52,0,426,3174
53,0,407,3193
54,0,388,3212
55,0,370,3230
56,0,356,3244
57,0,333,3267
58,0,313,3287
59,0,302,3298
60,0,285,3315
61,0,265,3335
62,0,248,3352
63,0,235,3365
64,0,222,3378
65,0,204,3396
66,0,191,3409
67,0,175,3425
68,0,166,3434
69,0,159,3441
70,0,153,3447
71,0,150,3450
72,0,144,3456
73,0,135,3465
74,0,131,3469
75,0,128,3472
76,0,123,3477
77,0,117,3483
78,0,110,3490
79,0,104,3496
80,0,100,3500
81,0,90,3510
82,0,86,3514
83,0,84,3516
84,0,79,3521
85,0,77,3523
86,0,74,3526
87,0,73,3527
88,0,70,3530
89,0,69,3531
90,0,65,3535
91,0,60,3540
92,0,58,3542
93,0,53,3547
94,0,52,3548
95,0,50,3550
96,0,49,3551
97,0,49,3551
98,0,46,3554
99,0,42,3558
100,0,40,3560
101,0,39,3561
102,0,37,3563
103,0,37,3563
104,0,37,3563
105,0,35,3565
106,0,32,3568
107,0,30,3570
108,0,29,3571
109,0,27,3573
110,0,25,3575
111,0,25,3575
112,0,23,3577
113,0,20,3580
114,0,20,3580
115,0,20,3580
116,0,20,3580
117,0,19,3581
118,0,17,3583
119,0,17,3583
120,0,15,3585
121,0,15,3585
122,0,13,3587
123,0,13,3587
124,0,13,3587
125,0,12,3588
126,0,11,3589
127,0,11,3589
128,0,11,3589
129,0,11,3589
130,0,11,3589
131,0,10,3590
132,0,9,3591
133,0,9,3591
134,0,9,3591
135,0,8,3592
136,0,7,3593
137,0,7,3593
138,0,7,3593
139,0,7,3593
140,0,7,3593
141,0,6,3594
142,0,6,3594
143,0,6,3594
144,0,6,3594
145,0,5,3595
146,0,4,3596
147,0,4,3596
148,0,4,3596
149,0,4,3596
